species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
chswar,Setophaga pensylvanica,Chestnut-sided Warbler,18000000,18000000,TRUE,1,TRUE,18000000
cintea,Spatula cyanoptera,Cinnamon Teal,380000,300000,FALSE,1,TRUE,380000
clagre,Aechmophorus clarkii,Clark's Grebe,81000,72000,FALSE,1,TRUE,81000
clcspa,Spizella pallida,Clay-colored Sparrow,60000000,60000000,TRUE,1,TRUE,60000000
cliswa,Petrochelidon pyrrhonota,Cliff Swallow,83000000,78000000,FALSE,1,TRUE,83000000
comeid,Somateria mollissima,Common Eider,2300000,750000,FALSE,0.5537397560194508,FALSE,1300000
comgal1,Gallinula galeata,Common Gallinule,5100000,500000,FALSE,0.9993414011211104,FALSE,5100000
comgol,Bucephala clangula,Common Goldeneye,2500000,1200000,FALSE,0.4387859373133858,FALSE,1200000
comgra,Quiscalus quiscula,Common Grackle,67000000,67000000,TRUE,1,TRUE,67000000
comloo,Gavia immer,Common Loon,1200000,1100000,FALSE,0.9566744790030784,FALSE,1100000
commer,Mergus merganser,Common Merganser,1900000,1200000,FALSE,0.4384220646794639,FALSE,1200000
comnig,Chordeiles minor,Common Nighthawk,23000000,22000000,FALSE,1,TRUE,23000000
compoo,Phalaenoptilus nuttallii,Common Poorwill,1700000,1300000,FALSE,1,TRUE,1700000
comred,Acanthis flammea,Common Redpoll,250000000,76000000,FALSE,0.7977147931811273,FALSE,200000000
comter,Sterna hirundo,Common Tern,2800000,470000,FALSE,0.07641034571724148,FALSE,470000
comyel,Geothlypis trichas,Common Yellowthroat,77000000,76000000,FALSE,1,TRUE,77000000
coohaw,Accipiter cooperii,Cooper's Hawk,1000000,840000,FALSE,1,TRUE,1000000
coshum,Calypte costae,Costa's Hummingbird,3400000,1600000,FALSE,1,TRUE,3400000
daejun,Junco hyemalis,Dark-eyed Junco,220000000,220000000,TRUE,1,TRUE,220000000
dickci,Spiza americana,Dickcissel,28000000,28000000,TRUE,1,TRUE,28000000
doccor,Nannopterum auritum,Double-crested Cormorant,630000,560000,FALSE,0.9999999536012233,FALSE,630000
ducfly,Myiarchus tuberculifer,Dusky-capped Flycatcher,20000000,10000,FALSE,1,TRUE,20000000
dunlin,Calidris alpina,Dunlin,5500000,1500000,FALSE,0.17836315138606362,FALSE,1500000
dusfly,Empidonax oberholseri,Dusky Flycatcher,8800000,8800000,TRUE,1,TRUE,8800000
eargre,Podiceps nigricollis,Eared Grebe,3100000,2000000,FALSE,0.7533029595705854,FALSE,2300000
easblu,Sialia sialis,Eastern Bluebird,23000000,21000000,FALSE,1,TRUE,23000000
